2026/07/30 19:03:47.800, 1641 MiB, 46758 MiB
2026/07/30 19:03:48.926, 1641 MiB, 46758 MiB
2026/07/30 19:03:50.042, 1641 MiB, 46758 MiB
2026/07/30 19:03:51.066, 1641 MiB, 46758 MiB
2026/07/30 19:03:52.105, 1641 MiB, 46758 MiB
2026/07/30 19:03:53.121, 1641 MiB, 46758 MiB
2026/07/30 19:03:54.151, 1807 MiB, 46592 MiB
2026/07/30 19:03:55.195, 1807 MiB, 46592 MiB
2026/07/30 19:03:56.239, 1807 MiB, 46592 MiB
2026/07/30 19:03:57.307, 3233 MiB, 45166 MiB
2026/07/30 19:03:58.468, 3255 MiB, 45144 MiB
2026/07/30 19:03:59.658, 3273 MiB, 45126 MiB
2026/07/30 19:04:00.743, 3317 MiB, 45082 MiB
2026/07/30 19:04:01.801, 3343 MiB, 45056 MiB
2026/07/30 19:04:02.885, 3389 MiB, 45010 MiB
2026/07/30 19:04:03.928, 5003 MiB, 43396 MiB
2026/07/30 19:04:04.945, 8903 MiB, 39496 MiB
2026/07/30 19:04:05.963, 12981 MiB, 35418 MiB
2026/07/30 19:04:06.980, 17449 MiB, 30950 MiB
2026/07/30 19:04:08.005, 18279 MiB, 30120 MiB
2026/07/30 19:04:09.031, 19069 MiB, 29330 MiB
2026/07/30 19:04:10.063, 19889 MiB, 28510 MiB
2026/07/30 19:04:11.084, 21267 MiB, 27132 MiB
2026/07/30 19:04:12.119, 22375 MiB, 26024 MiB
2026/07/30 19:04:13.137, 25003 MiB, 23396 MiB
2026/07/30 19:04:14.155, 29045 MiB, 19354 MiB
2026/07/30 19:04:15.174, 31315 MiB, 17084 MiB
2026/07/30 19:04:16.270, 31341 MiB, 17058 MiB
2026/07/30 19:04:18.052, 31341 MiB, 17058 MiB
2026/07/30 19:04:19.070, 31619 MiB, 16780 MiB
2026/07/30 19:04:20.086, 31885 MiB, 16514 MiB
2026/07/30 19:04:21.101, 31887 MiB, 16512 MiB
2026/07/30 19:04:22.115, 31887 MiB, 16512 MiB
2026/07/30 19:04:23.130, 31891 MiB, 16508 MiB
2026/07/30 19:04:24.144, 31891 MiB, 16508 MiB
2026/07/30 19:04:25.159, 31893 MiB, 16506 MiB
2026/07/30 19:04:26.173, 31899 MiB, 16500 MiB
2026/07/30 19:04:27.187, 31901 MiB, 16498 MiB
2026/07/30 19:04:28.202, 31903 MiB, 16496 MiB
2026/07/30 19:04:29.216, 33185 MiB, 15214 MiB
2026/07/30 19:04:30.231, 33697 MiB, 14702 MiB
2026/07/30 19:04:31.245, 33697 MiB, 14702 MiB
2026/07/30 19:04:32.259, 33697 MiB, 14702 MiB
2026/07/30 19:04:33.274, 33697 MiB, 14702 MiB
2026/07/30 19:04:34.289, 33697 MiB, 14702 MiB
2026/07/30 19:04:35.303, 33697 MiB, 14702 MiB
2026/07/30 19:04:36.317, 33697 MiB, 14702 MiB
2026/07/30 19:04:37.332, 33697 MiB, 14702 MiB
2026/07/30 19:04:38.347, 33697 MiB, 14702 MiB
2026/07/30 19:04:39.361, 33697 MiB, 14702 MiB
2026/07/30 19:04:40.376, 33697 MiB, 14702 MiB
2026/07/30 19:04:41.391, 33697 MiB, 14702 MiB
